i,fr,sudut,p1,p2,galat,nyambung,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,st_gabung,br_gabung,terdeteksi,iou_inti,br_ref,st_ref,br_kor,st_kor
254,0.9723119308850698,3.4804243686430385,pbcseg_final_v1\MO_930017_ccrop_mask.png,pbcseg_final_v1\MO_245773_ccrop_mask.png,,True,0.5223629497649294,0.7057139234036682,0.1833509736387389,78.08969202141856,34082,terpisah_di_nol,0.0,True,1.0,0.6240548408949684,normal,0.6240548408949684,normal
255,0.7163354410021825,1.5184688931109587,pbcseg_final_v1\MO_660545_ccrop_mask.png,pbcseg_final_v1\LY_359031_ccrop_mask.png,,True,0.049705812145082094,0.5618880290427728,0.5121822168976907,85.90692637965812,32535,normal,0.02480694691784169,False,0.7336936936936936,0.9084221316275652,normal,0.02480694691784169,normal
264,0.8998137109611155,2.1448018138429528,pbcseg_final_v1\LY_722941_ccrop_mask.png,pbcseg_final_v1\MO_663123_ccrop_mask.png,,True,0.27111908087456216,0.6107100936430916,0.33959101276852943,78.40918313565064,29018,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
265,0.9160919328146482,5.651670315391055,pbcseg_final_v1\LY_272801_ccrop_mask.png,pbcseg_final_v1\LY_586473_ccrop_mask.png,,True,0.34824513602041013,0.793622117618814,0.44537698159840383,55.226805085936306,19291,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
242,0.7966742360824073,1.082342017709326,pbcseg_final_v1\LY_418697_ccrop_mask.png,pbcseg_final_v1\LY_603476_ccrop_mask.png,,True,0.2851814627041645,0.8793565941039629,0.5941751313997985,53.46026561849464,18554,terpisah_di_nol,0.0,True,0.9800578474653676,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
243,0.7160362475861635,3.701540826813813,pbcseg_final_v1\MO_723768_ccrop_mask.png,pbcseg_final_v1\LY_617499_ccrop_mask.png,,True,0.034225873428617604,0.5281576874596051,0.4939318140309875,81.43709228600933,27130,terpisah_di_nol,0.0,False,0.7805757557545525,0.7190780004503734,normal,0.0,terpisah_di_nol
244,0.9630101501269159,2.5575727764805993,pbcseg_final_v1\MO_902874_ccrop_mask.png,pbcseg_final_v1\MO_23775_ccrop_mask.png,,True,0.5660799762665815,0.794882133927796,0.2288021576612147,68.41052550594829,25676,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
245,0.7889044571919183,4.434071630087184,pbcseg_final_v1\LY_506533_ccrop_mask.png,pbcseg_final_v1\MO_769640_ccrop_mask.png,,True,0.2068447490274288,0.7789700214349037,0.5721252724074749,72.99315036357864,28310,terpisah_di_nol,0.0,True,0.994501981843754,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
246,0.9719145607568752,4.555186818932032,pbcseg_final_v1\MO_702473_ccrop_mask.png,pbcseg_final_v1\MO_447322_ccrop_mask.png,,True,0.2457269702403874,0.6059091125034225,0.3601821422630351,86.46964785403026,37563,terpisah_di_nol,0.0,True,1.0,0.6335488008393534,normal,0.6335488008393534,normal
247,0.7625196903112911,3.2794384560900105,pbcseg_final_v1\MO_627871_ccrop_mask.png,pbcseg_final_v1\MO_888999_ccrop_mask.png,,True,0.31548911519425377,0.9799011100958148,0.6644119949015611,69.6419413859206,30333,terpisah_di_nol,0.0,True,0.9851252118245152,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
