tau,rho,n_kalibrasi,skor_mentah,rec_t1,rec_t2,rec_t3,skor_makro3,rec_harus_pecah,rec_harus_utuh,skor_br,limf_tak_pecah,limf_lobus,eo_lobus
0.1,0.6,5736,0.3554741980474198,0.3694745621351126,0.14635124298315957,0.933649289099526,0.48315836473926604,0.9937088076692631,0.6384180790960452,0.8160634433826541,0.6252059308072487,1.8072487644151565,5.592877767083734
0.1,0.7,5736,0.36366806136680613,0.3861551292743953,0.18003207698476342,0.8424170616113744,0.4695347559568444,0.981426003594967,0.64030131826742,0.8108636609311934,0.6260296540362438,1.7973640856672157,5.0051331408405515
0.25,0.0,5736,0.4417712691771269,0.5004170141784821,0.20529270248596632,0.9739336492890995,0.559881121984516,0.9958058717795086,0.8258003766478342,0.9108031242136714,0.814662273476112,1.2907742998352554,4.40102662816811
0.25,0.1,5736,0.44700139470013944,0.5012510425354462,0.2165196471531676,0.9739336492890995,0.5639014463259044,0.9958058717795086,0.8258003766478342,0.9108031242136714,0.8154859967051071,1.2899505766062602,4.317292268206609
0.25,0.2,5736,0.4544979079497908,0.5025020850708924,0.23255813953488372,0.9739336492890995,0.5696646246316251,0.9955062911923307,0.8258003766478342,0.9106533339200824,0.8154859967051071,1.2891268533772653,4.203400705806866
0.25,0.3,5736,0.46147140864714087,0.5041701417848207,0.24779470729751404,0.9715639810426541,0.5745096100416629,0.9952067106051528,0.8267419962335216,0.9109743534193372,0.8154859967051071,1.2858319604612851,4.1296118062239335
0.25,0.4,5736,0.4700139470013947,0.5062552126772311,0.2690457097032879,0.9609004739336493,0.5787337987713894,0.9952067106051528,0.8267419962335216,0.9109743534193372,0.8163097199341022,1.2833607907742999,4.017965992941932
0.25,0.5,5736,0.4743723849372385,0.5100083402835697,0.28789093825180434,0.9241706161137441,0.5740232982163728,0.9937088076692631,0.827683615819209,0.9106962117442361,0.8179571663920923,1.2775947281713345,3.8893166506256014
0.25,0.6,5736,0.4827405857740586,0.5204336947456214,0.3191659983961508,0.8590047393364929,0.5662014774927551,0.9889155182744158,0.827683615819209,0.9082995670468124,0.8179571663920923,1.2685337726523889,3.6888033365415462
0.25,0.7,5736,0.49041143654114366,0.5383653044203502,0.36768243785084204,0.716824644549763,0.5409574622736518,0.9733373277411623,0.8286252354048964,0.9009812815730294,0.8187808896210873,1.2660626029654036,3.3747192813602824
0.5,0.0,5736,0.6124476987447699,0.6559633027522935,0.4582999198075381,0.9443127962085308,0.6861920062561208,0.9916117435590174,0.9689265536723164,0.9802691486156669,0.9686985172981878,1.042009884678748,2.9377606673083094
0.5,0.1,5736,0.6220362622036262,0.6572143452877398,0.479149959903769,0.9443127962085308,0.6935590338000132,0.9916117435590174,0.9689265536723164,0.9802691486156669,0.9695222405271828,1.0411861614497528,2.8809752967597047
0.5,0.2,5736,0.6356345885634589,0.658882402001668,0.5088211708099438,0.9443127962085308,0.7040054563400475,0.9916117435590174,0.9698681732580038,0.9807399584085106,0.9695222405271828,1.040362438220758,2.7972409367982034
0.5,0.3,5736,0.6424337517433751,0.6601334445371143,0.5244587008821171,0.9407582938388626,0.7084501464193647,0.9913121629718394,0.9698681732580038,0.9805901681149216,0.9695222405271828,1.0395387149917628,2.7670837343599617
0.5,0.4,5736,0.6539400278940027,0.664303586321935,0.5509222133119487,0.9289099526066351,0.7147119174135064,0.9910125823846615,0.9698681732580038,0.9804403778213326,0.9703459637561779,1.0370675453047775,2.717356432467116
