tau,rho,n_A,n_B,auc,J_max,ambang,ambang_atas,lebar_persis,sepertiga_di_interval_persis,plateau_lo,plateau_hi,lebar_plateau_eps,sepertiga_di_plateau_eps,J_sepertiga,defisit_J_sepertiga,akurasi_sepertiga,akurasi_ambang,sens_band,spes_band,n_takpecah_A,n_takpecah_B,n_terpisah0,geser_mean,geser_sd,geser_rentang,frak_br_identik,frak_br_identik_normal
0.25,0.4,1555,976,0.912032180696853,0.7839972853302409,0.37147841246231744,0.3714956989682348,1.72865059173688e-05,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7705030045859469,0.01349428074429404,0.9051758198340577,0.9059660213354406,0.9723472668810289,0.798155737704918,48,13,587,-0.0061932170207423184,0.01003441720855267,0.03153299773338254,0.8750242765585551,0.9635874185321621
0.25,0.5,1555,976,0.9079265721364188,0.7816100890833377,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7690969110747984,0.01251317800853935,0.9047807190833662,0.9075464243382062,0.9729903536977492,0.7961065573770492,52,17,572,-0.008014940947953082,0.009745065431319228,0.031009830794370342,0.8693921149737813,0.9587716804094398
0.25,0.6,1555,976,0.8935305861578198,0.7720072742607138,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.3587657577822075,0.0,False,0.7594940962521743,0.01251317800853946,0.9012248123271435,0.9039905175819835,0.9736334405144694,0.7858606557377049,67,28,556,-0.01260365927470889,0.0073200335856094005,0.026050287280586146,0.8588075354437755,0.9494833524684271
0.25,0.7,1555,976,0.8546511781139634,0.7389805492593959,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7278734647620052,0.011107084497390729,0.889766890557092,0.8921374950612406,0.9768488745980708,0.7510245901639344,123,54,528,-0.026592588820439765,0.011297723227383373,0.04043869590427496,0.8293843464750437,0.9297337278106509
0.5,0.0,1555,976,0.9048705919561436,0.7777298244689262,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7672658267882557,0.010463997680670523,0.9020150138285262,0.9039905175819835,0.9639871382636656,0.8032786885245902,80,18,596,-0.0025749696243592074,0.0048384533937022335,0.019009277318011726,0.948339483394834,0.9764057643402091
0.5,0.1,1555,976,0.905600983079437,0.7779914079384324,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7675274102577618,0.010463997680670523,0.9024101145792177,0.9043856183326748,0.9652733118971061,0.8022540983606558,80,18,596,-0.0027964263889687204,0.004225634754562808,0.016197090295714596,0.9494076519712565,0.9778123233465235
0.5,0.2,1555,976,0.9079219598334299,0.7814684254915397,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7699798376469347,0.011488587844605047,0.9043856183326748,0.9067562228368234,0.9697749196141479,0.8002049180327869,80,18,596,-0.0031474944963603524,0.003874060805844423,0.013003399926203085,0.9515439891241018,0.9811881188118812
0.5,0.3,1555,976,0.9087320779083866,0.7833976859417005,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7708845079331612,0.012513178008539239,0.9051758198340577,0.9079415250888977,0.9717041800643087,0.7991803278688525,80,18,592,-0.002753025048281835,0.004397370142200017,0.013788150334721583,0.9495047582054768,0.979187314172448
0.5,0.4,1555,976,0.9088981208159823,0.7839972853302409,0.37147841246231744,0.3714956989682348,1.72865059173688e-05,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7705030045859469,0.01349428074429404,0.9051758198340577,0.9059660213354406,0.9723472668810289,0.798155737704918,80,18,587,-0.002581204345484735,0.00465666928785765,0.01443123715144179,0.9471742085841911,0.9781436275901221
0.5,0.5,1555,976,0.9062065125718202,0.7816100890833377,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7690969110747984,0.01251317800853935,0.9047807190833662,0.9075464243382062,0.9729903536977492,0.7961065573770492,83,20,572,-0.003798938422013597,0.0042385645741936945,0.013701175478361804,0.9400854534861138,0.973601598173516
0.5,0.6,1555,976,0.8928825575878973,0.7720072742607138,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.3587657577822075,0.0,False,0.7594940962521743,0.01251317800853946,0.9012248123271435,0.9039905175819835,0.9736334405144694,0.7858606557377049,98,34,556,-0.009437321550560238,0.0036859597379618647,0.014910916662274065,0.9266847931637211,0.9655969933506794
0.5,0.7,1555,976,0.8543905829950977,0.7389805492593959,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7278734647620052,0.011107084497390729,0.889766890557092,0.8921374950612406,0.9768488745980708,0.7510245901639344,155,73,528,-0.02519415378510813,0.012283958455033552,0.04043869590427496,0.8920178675470966,0.9503908598917619
0.75,0.0,1555,976,0.905240564545886,0.7792775815718729,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7677889937272679,0.011488587844604936,0.9028052153299091,0.9051758198340577,0.9665594855305466,0.8012295081967213,95,22,596,-0.0007504048098804059,0.002587618548616193,0.010529228822940322,0.9779568848320063,0.9896863520768578
0.75,0.1,1555,976,0.9050376232143797,0.7782529914079385,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7667644035633334,0.011488587844605047,0.9024101145792177,0.9047807190833662,0.9665594855305466,0.8002049180327869,95,22,596,-0.001388842901980249,0.0020319627262509804,0.008480048495071495,0.9780539910662265,0.9899660825325043
0.75,0.2,1555,976,0.9072334088872488,0.7814684254915397,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7699798376469347,0.011488587844605047,0.9043856183326748,0.9067562228368234,0.9697749196141479,0.8002049180327869,95,22,596,-0.0016446518873424634,0.0023726517850596843,0.00972273470033208,0.9777626723635657,0.9902376910016978
0.75,0.3,1555,976,0.9080422091613517,0.7833976859417005,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7708845079331612,0.012513178008539239,0.9051758198340577,0.9079415250888977,0.9717041800643087,0.7991803278688525,95,22,592,-0.0012501824392639428,0.0029592795164205964,0.012295081967213295,0.9748494853369586,0.9873955530378133
0.75,0.4,1555,976,0.9082069342680934,0.7839972853302409,0.37147841246231744,0.3714956989682348,1.72865059173688e-05,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7705030045859469,0.01349428074429404,0.9051758198340577,0.9059660213354406,0.9723472668810289,0.798155737704918,95,22,587,-0.0010783617364668462,0.003251987839237643,0.013962758947868026,0.9712565546708098,0.985373473445044
